Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Gross Price,Discount
6/7/24 10:17 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 10:17 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,3.00,0.00
6/7/24 10:17 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 10:15 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,8.35,0.00
6/7/24 10:15 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 10:15 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 10:29 AM,Espresso Shakerato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 10:29 AM,Acqua Panna glass bottle,,Non-Alcoholic,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 10:38 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 10:38 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 10:38 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 10:38 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 10:38 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,3.02,0.00
6/7/24 10:38 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,10.20,0.00
6/7/24 10:50 AM,Mokaccino Ferrero Rocher,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 10:50 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 10:50 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,3.02,0.00
6/7/24 10:50 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 10:50 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
6/7/24 11:02 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 11:02 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 11:05 AM,NAPULÈ,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 10:38 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
6/7/24 11:08 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
6/7/24 11:08 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,6.96,2.0,false,6.96,0.00
6/7/24 11:08 AM,NESSUN DORMA,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:08 AM,O SOLE MIO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:08 AM,Single serving desserts,,BAKERY DISPLAY,RETAIL,13.00,2.0,false,13.00,0.00
6/7/24 11:08 AM,NAPULÈ,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:08 AM,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.50,1.0,false,8.50,0.00
6/7/24 11:10 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
6/7/24 10:16 AM,San Pellegrino glass bottle,,Non-Alcoholic,BEVERAGES,3.75,1.0,false,3.75,0.00
6/7/24 10:16 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,10.20,0.00
6/7/24 10:16 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,3.02,0.00
6/7/24 10:16 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,3.00,0.00
6/7/24 11:11 AM,SLICE CAKE,,BAKERY DISPLAY,RETAIL,6.50,1.0,false,6.50,0.00
6/7/24 11:11 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:11 AM,Mokaccino,,Espresso Bar,BEVERAGES,3.50,1.0,false,3.50,0.00
6/7/24 11:12 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
6/7/24 11:12 AM,Glass Chianti Riserva - San Vincente,,Wine - Glasses,BEVERAGES,13.00,1.0,false,13.00,0.00
6/7/24 11:02 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
6/7/24 11:02 AM,NAPULÈ,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:02 AM,NESSUN DORMA,,Panini,FOOD,11.13,1.0,false,11.13,0.00
6/7/24 11:02 AM,RIGOLETTO,,Panini,FOOD,9.28,1.0,false,9.28,0.00
6/7/24 11:12 AM,PUGLIESE,,Pasta,FOOD,10.20,0.5,false,10.20,0.00
6/7/24 11:12 AM,MINA,,Salad,FOOD,8.11,0.5,false,8.11,0.00
6/7/24 11:20 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
